"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.016588,0,-0.99986,1.0385e-06,-2.0773e-08,-0.0048174
0.026594,0,-0.99965,2.077e-06,4.1546e-08,-0.0048173
0.014122,0,-0.9999,1.0385e-06,2.0773e-08,-0.0048174
0.046581,0,-0.99891,3.1155e-06,-6.2318e-08,-0.0048173
0.041662,0,-0.99913,3.1155e-06,6.2318e-08,-0.0048173
0.060421,0,-0.99817,4.154e-06,-8.3091e-08,-0.0048172
0.05596,0,-0.99843,4.154e-06,8.3091e-08,-0.0048172
0.074077,0,-0.99725,5.1925e-06,-1.0386e-07,-0.0048172
0.06948,0,-0.99758,5.1925e-06,1.0386e-07,-0.0048172
0.086955,0,-0.99621,6.231e-06,-1.2464e-07,-0.0048171
0.082815,0,-0.99656,6.231e-06,1.2464e-07,-0.0048171
0.09964,0,-0.99502,7.2695e-06,-1.4541e-07,-0.004817
0.095367,0,-0.99544,7.2695e-06,1.4541e-07,-0.004817
0.11242,0,-0.99366,8.308e-06,-1.6618e-07,-0.0048169
0.10817,0,-0.99413,8.308e-06,1.6618e-07,-0.0048169
0.12545,0,-0.9921,9.3465e-06,-1.8696e-07,-0.0048168
0.12106,0,-0.99264,9.3465e-06,1.8696e-07,-0.0048168
0.13913,0,-0.99027,1.0385e-05,-2.0773e-07,-0.0048166
0.13448,0,-0.99092,1.0385e-05,2.0773e-07,-0.0048166
0.15503,0,-0.98791,1.1423e-05,-2.285e-07,-0.0048165
0.1494,0,-0.98878,1.1423e-05,2.285e-07,-0.0048165
0.17439,0,-0.98468,1.2462e-05,-2.4927e-07,-0.0048163
0.16752,0,-0.98587,1.2462e-05,2.4927e-07,-0.0048163
0.19959,0,-0.97988,1.3501e-05,-2.7005e-07,-0.0048161
0.19042,0,-0.9817,1.3501e-05,2.7005e-07,-0.0048161
0.23047,0,-0.97308,1.4539e-05,-2.9082e-07,-0.0048159
0.21962,0,-0.97559,1.4539e-05,2.9082e-07,-0.0048159
0.24352,0,-0.96989,1.515e-05,3.0303e-07,-0.0048157
0.24352,0,-0.96989,1.515e-05,-3.0303e-07,-0.0048157
0.24628,0,-0.9692,1.5577e-05,-3.1159e-07,-0.0048156
0.24628,0,-0.9692,1.5577e-05,3.1159e-07,-0.0048156
0.24545,0,-0.96941,1.6616e-05,-3.3237e-07,-0.0048154
0.24613,0,-0.96924,1.6616e-05,3.3237e-07,-0.0048154
0.24667,0,-0.9691,1.7654e-05,-3.5314e-07,-0.0048151
0.24572,0,-0.96934,1.7654e-05,3.5314e-07,-0.0048151
0.25386,0,-0.96724,1.8693e-05,-3.7391e-07,-0.0048148
0.25074,0,-0.96805,1.8693e-05,3.7391e-07,-0.0048148
0.26983,0,-0.96291,1.9732e-05,-3.9468e-07,-0.0048146
0.26341,0,-0.96469,1.9732e-05,3.9468e-07,-0.0048146
0.29977,0,-0.95401,2.077e-05,-4.1546e-07,-0.0048143
0.28803,0,-0.95762,2.077e-05,4.1546e-07,-0.0048143
0.34192,0,-0.93973,2.1809e-05,-4.3623e-07,-0.0048139
0.32674,0,-0.94512,2.1809e-05,4.3623e-07,-0.0048139
0.35825,0,-0.93363,2.2291e-05,4.4588e-07,-0.0048137
0.35825,0,-0.93363,2.2291e-05,-4.4588e-07,-0.0048137
0.35267,0,-0.93575,2.2847e-05,-4.57e-07,-0.0048135
0.35267,0,-0.93575,2.2847e-05,4.57e-07,-0.0048135
0.34038,0,-0.94029,2.3885e-05,-4.7778e-07,-0.0048132
0.34311,0,-0.93929,2.3885e-05,4.7778e-07,-0.0048132
0.3441,0,-0.93893,2.4924e-05,-4.9855e-07,-0.0048128
0.34088,0,-0.94011,2.4924e-05,4.9855e-07,-0.0048128
0.37241,0,-0.92807,2.5962e-05,-5.1932e-07,-0.0048124
0.3599,0,-0.93299,2.5962e-05,5.1932e-07,-0.0048124
0.42229,0,-0.90646,2.7001e-05,-5.4009e-07,-0.004812
0.40365,0,-0.91491,2.7001e-05,5.4009e-07,-0.004812
0.44046,0,-0.89777,2.7435e-05,5.4876e-07,-0.0048117
0.44046,0,-0.89777,2.7435e-05,-5.4876e-07,-0.0048117
0.42842,0,-0.90358,2.804e-05,-5.6087e-07,-0.0048115
0.42842,0,-0.90358,2.804e-05,5.6087e-07,-0.0048115
0.41232,0,-0.91104,2.9078e-05,-5.8164e-07,-0.004811
0.41446,0,-0.91007,2.9078e-05,5.8164e-07,-0.004811
0.43299,0,-0.9014,3.0117e-05,-6.0241e-07,-0.0048105
0.42161,0,-0.90678,3.0117e-05,6.0241e-07,-0.0048105
0.48861,0,-0.8725,3.1155e-05,-6.2318e-07,-0.00481
0.46659,0,-0.88447,3.1155e-05,6.2318e-07,-0.00481
0.5088,0,-0.86088,3.1569e-05,6.3146e-07,-0.0048097
0.5088,0,-0.86088,3.1569e-05,-6.3146e-07,-0.0048097
0.48978,0,-0.87185,3.2194e-05,-6.4396e-07,-0.0048094
0.48978,0,-0.87185,3.2194e-05,6.4396e-07,-0.0048094
-0.0089675,0,0.99996,2.077e-06,-4.1546e-08,-0.0047237
-0.0076225,0,0.99997,2.077e-06,4.1546e-08,-0.0047237
-0.0049323,0,0.99999,1.0385e-06,-2.0773e-08,-0.0047237
-0.0042597,0,0.99999,1.0385e-06,2.0773e-08,-0.0047237
-0.013301,0,0.99991,3.1155e-06,-6.2318e-08,-0.0047236
-0.011807,0,0.99993,3.1155e-06,6.2318e-08,-0.0047236
-0.017485,0,0.99985,4.154e-06,-8.3091e-08,-0.0047236
